Danh mục,Tên sản phẩm,Giá,Link
CPU,Intel Pentium Gold G7400 / 3.7 GHz / 2 nhân 4 luồng / 6MB / LGA 1700,2390000,https://gearvn.com/products/intel-pentium-g7400
CPU,Intel Pentium Gold G6405 / 4.1 GHz / 2 nhân 4 luồng / 4MB / LGA 1200,1990000,https://gearvn.com/products/intel-pentium-g6405
CPU,Intel Core Ultra 9 285K / Turbo up to 5.7GHz / 24 Nhân 24 Luồng / 36MB / LGA 1851,17490000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-9-285k
CPU,Intel Core Ultra 9 285 / Turbo up to 5.6GHz / 24 Nhân 24 Luồng / 36MB / LGA 1851,16990000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-9-285
CPU,Intel Core Ultra 7 265KF / Turbo up to 5.5GHz / 20 Nhân 20 Luồng / 30MB / LGA 1851,8990000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-7-265kf
CPU,Intel Core Ultra 7 265K / Turbo up to 5.5GHz / 20 Nhân 20 Luồng / 30MB / LGA 1851,11790000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-7-265k
CPU,Intel Core Ultra 7 265F / Turbo up to 5.3GHz / 20 Nhân 20 Luồng / 30MB / LGA 1851,10490000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-7-265f
CPU,Intel Core Ultra 7 265 / Turbo up to 5.3GHz / 20 Nhân 20 Luồng / 30MB / LGA 1851,10990000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-7-265
CPU,Intel Core Ultra 5 245KF / Turbo up to 5.2GHz / 14 Nhân 14 Luồng / 24MB / LGA 1851,8290000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-5-245kf
CPU,Intel Core Ultra 5 245K / Turbo up to 5.2GHz / 14 Nhân 14 Luồng / 24MB / LGA 1851,8690000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-5-245k
CPU,Intel Core Ultra 5 245 / Turbo up to 5.1GHz / 14 Nhân 14 Luồng / 24MB / LGA 1851,8490000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-5-245
CPU,Intel Core Ultra 5 235 / Turbo up to 5.0 GHz / 14 Nhân 14 Luồng / 24MB / LGA 1851,7990000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-5-235
CPU,Intel Core Ultra 5 225F / Turbo up to 4.9 GHz / 10 Nhân 10 Luồng / 20MB / LGA 1851,6990000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-5-225f
CPU,Intel Core Ultra 5 225 / Turbo up to 4.9 GHz / 10 Nhân 10 Luồng / 20MB / LGA 1851,7490000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-ultra-5-225
CPU,Intel Core i9 14900KF / Turbo up to 6.0GHz / 24 Nhân 32 Luồng / 36MB / LGA 1700,13190000,https://gearvn.com/products/intel-core-i9-14900kf
